,movie,year,time_minute,imdb_rating,metascore,vote,gross_earning
245,Toy Story 3,2010,103,8.3,92.0,872031,415.0
246,Up,2009,96,8.3,88.0,1093900,293.0
247,Children of Men,2006,109,7.9,84.0,519034,35.55
248,Skyfall,2012,143,7.8,81.0,718448,304.36
249,The Hobbit: The Desolation of Smaug,2013,161,7.8,66.0,689075,258.37
250,500 Days of Summer,2009,95,7.7,76.0,542043,32.39
251,Jojo Rabbit,2019,108,7.9,58.0,423399,33.37
252,The Imitation Game,2014,114,8.0,71.0,805195,91.13
253,"Three Billboards Outside Ebbing, Missouri",2017,115,8.1,88.0,538008,54.51
254,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58.0,1096341,309.13
255,Incendies,2010,131,8.3,80.0,190183,6.86
256,Big Fish,2003,125,8.0,58.0,452445,66.26
257,Guardians of the Galaxy Vol. 2,2017,136,7.6,67.0,738032,389.81
258,The Social Network,2010,120,7.8,95.0,738015,96.96
259,Zootopia,2016,108,8.0,78.0,528705,341.27
260,Arsenic and Old Lace,1944,118,7.9,,73672,
261,Shrek,2001,90,7.9,84.0,713063,267.67
262,Memories of Murder,2003,132,8.1,82.0,204620,0.01
263,The Sound of Music,1965,172,8.1,63.0,250264,163.21
264,The Birds,1963,119,7.6,90.0,199801,11.4
265,Stardust,2007,127,7.6,66.0,280308,38.63
266,Zack Snyder's Justice League,2021,242,7.9,54.0,425430,
267,RRR,2022,187,7.8,83.0,157830,14.5
268,Harvey,1950,104,7.9,,57401,
269,A Bronx Tale,1993,121,7.8,80.0,154243,17.27
270,Evil Dead II,1987,84,7.7,72.0,177505,5.92
271,"Monsters, Inc.",2001,92,8.1,79.0,952472,289.92
272,Dances with Wolves,1990,181,8.0,72.0,282375,184.21
273,The Color Purple,1985,154,7.7,78.0,92459,98.47
274,Midnight in Paris,2011,94,7.6,81.0,441841,56.82
275,Casablanca,1942,102,8.5,100.0,593388,1.02
276,Amélie,2001,122,8.3,69.0,779982,33.23
277,Finding Nemo,2003,100,8.2,90.0,1086565,380.84
278,The Worst Person in the World,2021,128,7.8,90.0,87333,
279,Brokeback Mountain,2005,134,7.7,87.0,373474,83.04
280,Nightcrawler,2014,117,7.8,76.0,584968,32.38
281,Star Trek,2009,127,7.9,82.0,614809,257.73
282,American Gangster,2007,157,7.8,76.0,443280,130.16
283,Atonement,2007,123,7.8,85.0,292811,50.93
284,The Game,1997,129,7.7,63.0,417123,48.32
285,Logan,2017,137,8.1,77.0,806382,226.28
286,The Perks of Being a Wallflower,2012,103,7.9,67.0,536020,17.74
287,And Your Mother Too,2001,106,7.7,89.0,127203,13.62
288,Ocean's Eleven,2001,116,7.7,74.0,603271,183.42
289,Tangled,2010,100,7.7,71.0,479648,200.82
290,Hot Fuzz,2007,121,7.8,81.0,525193,23.64
291,3 Idiots,2009,170,8.4,67.0,419758,6.53
292,L.A. Confidential,1997,138,8.2,91.0,602818,64.62
293,Cinderella Man,2005,144,8.0,69.0,194633,61.65
294,Your Name.,2016,106,8.4,81.0,301067,5.02
295,The Count of Monte Cristo,2002,131,7.7,61.0,145443,54.23
296,When Harry Met Sally...,1989,95,7.7,76.0,233770,92.82
297,Warrior,2011,140,8.1,71.0,488615,13.66
298,The Butterfly Effect,2004,113,7.6,30.0,510562,57.94
299,The Boy in the Striped Pajamas,2008,94,7.7,55.0,236285,9.03
300,The Curious Case of Benjamin Button,2008,166,7.8,70.0,679474,127.51
301,The Machinist,2004,101,7.6,61.0,407639,1.08
302,Blazing Saddles,1974,93,7.7,73.0,147607,119.5
303,Gaslight,1944,114,7.8,78.0,32447,
304,The Sandlot,1993,101,7.8,55.0,99329,32.42
305,Indiana Jones and the Last Crusade,1989,127,8.2,65.0,793726,197.17
306,The Last of the Mohicans,1992,112,7.7,76.0,181489,75.51
307,Manchester by the Sea,2016,137,7.8,96.0,301377,47.7
308,The Father,2020,97,8.2,88.0,178850,
309,Moneyball,2011,133,7.6,87.0,450854,75.61
310,Rear Window,1954,112,8.5,100.0,510460,36.76
311,Mystic River,2003,138,7.9,84.0,474397,90.14
312,WALL·E,2008,98,8.4,95.0,1167869,223.81
313,The French Connection,1971,104,7.7,94.0,131419,15.63
314,Rush,2013,123,8.1,74.0,501029,26.95
315,Rocky,1976,120,8.1,70.0,611619,117.24
316,Grave of the Fireflies,1988,89,8.5,94.0,297173,
317,Taken,2008,90,7.8,51.0,622153,145.0
318,The Untouchables,1987,119,7.8,79.0,323952,76.27
319,Little Miss Sunshine,2006,101,7.8,80.0,505334,59.89
320,The Fighter,2010,116,7.8,79.0,382263,93.62
321,The Lives of Others,2006,137,8.4,89.0,402326,11.29
322,District 9,2009,112,7.9,81.0,704204,115.65
323,12 Monkeys,1995,129,8.0,74.0,636434,57.14
324,Frankenstein,1931,70,7.8,91.0,77339,
325,How to Train Your Dragon,2010,98,8.1,75.0,777968,217.58
326,First Blood,1982,93,7.7,61.0,267739,47.21
